text,label
"Oh you actually followed through on something for once congratulations.",passive_aggression
"I wasn't aware that deadlines were optional for some people.",passive_aggression
"Thanks for sharing your opinion nobody asked for it but thanks.",passive_aggression
"I mean someone had to be the adult in this situation.",passive_aggression
"No really take another fifteen minutes to get ready we have all the time in the world.",passive_aggression
"I love how you always manage to find the easiest role in every group project.",passive_aggression
"Funny how you're suddenly available now that you need something from me.",passive_aggression
"I'm sure your excuse is very creative this time.",passive_aggression
"Oh you're going to explain it to me like I haven't been doing this for years.",passive_aggression
"Thanks for finally acknowledging my existence it only took three days.",passive_aggression
"I just love having to clean up after someone who thinks they're an adult.",passive_aggression
"Wow you're really burning the midnight oil there getting in at nine thirty.",passive_aggression
"No please keep chewing with your mouth open it's truly a lovely sound.",passive_aggression
"I see you went with the cheapest option as usual very on brand.",passive_aggression
"Must be nice to coast through life without worrying about consequences.",passive_aggression
"Sure I'll redo the whole thing since your version was so thorough.",passive_aggression
"Oh you're tired that must be tough try working a double shift sometime.",passive_aggression
"I noticed you managed to reply to their text within seconds interesting pattern.",passive_aggression
"No it's fine I'll just adjust my entire schedule around yours again.",passive_aggression
"Wow what a surprise you picked the restaurant you wanted to go to.",passive_aggression
"I mean at least you showed up that's really the most we can ask for.",passive_aggression
"Thanks for all the advance notice by which I mean zero notice at all.",passive_aggression
"I just love it when people talk about things they clearly don't understand.",passive_aggression
"Oh you want feedback now not when I offered it three weeks ago okay.",passive_aggression
"Sure I'll take on another task since apparently I don't have enough already.",passive_aggression
"I'm fascinated by your ability to be late to literally everything.",passive_aggression
"No no you're right my ten years of experience is probably wrong.",passive_aggression
"How nice that you remembered to bring your charger but not the documents.",passive_aggression
"I guess some people just have a natural talent for avoiding responsibility.",passive_aggression
"Glad to see my detailed email warranted a thumbs up emoji response.",passive_aggression
"Oh you're offering to help now that most of the work is done how kind.",passive_aggression
"I'm sure there's a perfectly logical reason you forgot our anniversary.",passive_aggression
"Please by all means keep talking over me I clearly had nothing important to say.",passive_aggression
"It's so refreshing to work with someone who has such low standards.",passive_aggression
"I mean if you're happy with mediocre who am I to judge.",passive_aggression
"Thanks for that incredibly detailed one word answer really clears things up.",passive_aggression
"No I love hearing the same story for the fifth time it gets better every time.",passive_aggression
"I see you managed to make this about yourself again well done.",passive_aggression
"Don't worry I already assumed you wouldn't follow through.",passive_aggression
"Oh you've decided to care about the project on the night before it's due.",passive_aggression
"I just find it so interesting how selective your memory is.",passive_aggression
"Sure leave your wet towel on the bed it's not like we share that space.",passive_aggression
"I'm genuinely impressed by how little effort that took you.",passive_aggression
"Oh you want recognition for doing what was already your job cool.",passive_aggression
"Thanks for the reminder that I apparently need to spell everything out.",passive_aggression
"I see the group chat is really active when I'm not in it.",passive_aggression
"No go ahead and use the last of the milk without replacing it that's fine.",passive_aggression
"I love how everyone suddenly has somewhere to be when dishes need washing.",passive_aggression
"Sure let me just rearrange my entire day because you changed your mind.",passive_aggression
"Oh you think that's clean that's cute.",passive_aggression
"I mean I only spent four hours on that presentation but sure let's use yours.",passive_aggression
"Thanks for speaking on my behalf I definitely couldn't have handled that.",passive_aggression
"I just think it's hilarious that you call this a plan.",passive_aggression
"No keep leaving passive aggressive notes instead of talking like an adult oh wait.",passive_aggression
"I'm sure you meant well even though the result says otherwise.",passive_aggression
"Oh you're the expert because you read one article about it yesterday.",passive_aggression
"Thanks for including me in the decision after you already made it.",passive_aggression
"I guess punctuality is more of a guideline for some people.",passive_aggression
"No I love being the designated driver every single time really fun for me.",passive_aggression
"I see you conveniently forgot whose turn it was to pay.",passive_aggression
"Sure take the bigger room it's not like we're both paying the same rent.",passive_aggression
"I wasn't going to say anything but your music is audible through three walls.",passive_aggression
"Oh you brought store bought to the potluck that's certainly a choice.",passive_aggression
"I love how you always remember to clock in but forget to actually do the work.",passive_aggression
"Thanks for the update I could have lived without but here we are.",passive_aggression
"No by all means keep leaving the door open while the AC is running.",passive_aggression
"I see you mastered the art of looking busy without actually doing anything.",passive_aggression
"I mean at least you're aware of the problem even if you're not going to fix it.",passive_aggression
"Thanks for bringing that up in front of everyone really appreciated that.",passive_aggression
"Oh you need my notes from class the one you skipped to go to brunch.",passive_aggression
"I just love watching people take credit for ideas that weren't theirs.",passive_aggression
"Sure I'll drive it's not like anyone else ever offers.",passive_aggression
"Glad to know that three gentle reminders wasn't enough to get a reply.",passive_aggression
"I'm sure leaving the toilet seat up is some kind of power move.",passive_aggression
"Oh you're going to micromanage me now that must be so fulfilling for you.",passive_aggression
"Thanks for that incredibly helpful suggestion that I already tried two weeks ago.",passive_aggression
"I love how your definition of teamwork is watching everyone else do things.",passive_aggression
"No it's fine I only rehearsed my part thirty times but sure let's wing yours.",passive_aggression
"I guess some people just weren't raised to say thank you.",passive_aggression
"I see you're treating the shared kitchen like your personal science experiment.",passive_aggression
