text,label
"You always say you're busy but I know you just don't want to spend time with me.",manipulation
"I can't believe you'd rather go out with them than stay home with me.",manipulation
"If you actually loved me you'd know what's wrong without me having to say it.",manipulation
"I'm the one who introduced you to all your friends and you just forget that.",manipulation
"You're lucky I'm even giving you another chance most people wouldn't.",manipulation
"I only yelled because you weren't listening to me calmly.",manipulation
"Everyone thinks we're perfect together so why are you trying to ruin it.",manipulation
"I moved across the country for this and you're throwing it all away.",manipulation
"If you cared about your future you'd listen to what I'm telling you.",manipulation
"I can't believe you'd side with a stranger over someone who actually knows you.",manipulation
"You always run away from problems instead of facing them like I do.",manipulation
"I told you this would happen but you never take my advice seriously.",manipulation
"Maybe if you spent less time on your phone you'd actually hear what I'm saying.",manipulation
"I was the first person to believe in your business idea remember that.",manipulation
"You think you can do better than me go ahead and try.",manipulation
"If you leave this relationship you'll never find someone who loves you like I do.",manipulation
"I only went through your messages because you've been acting differently lately.",manipulation
"You say you need space but that's just code for wanting to be with someone else.",manipulation
"I can't believe you'd throw away five years over something this small.",manipulation
"My ex never made me feel this way you're the only one who does this to me.",manipulation
"You always take their side you clearly don't respect our relationship.",manipulation
"I was fine before I met you and now look at me you've changed me.",manipulation
"I don't think you understand how much pain you cause me every single day.",manipulation
"You're the reason I can't sleep at night and you don't even care.",manipulation
"If you tell anyone about our argument I'll know I can never trust you.",manipulation
"I thought you were my best friend but best friends don't act like this.",manipulation
"Everyone at the party noticed how you ignored me the whole night.",manipulation
"You're the smartest person I know which is why it hurts that you're being so stupid about this.",manipulation
"I've been nothing but supportive and you treat me like I don't exist.",manipulation
"If you were really my friend you'd lend me the money without asking questions.",manipulation
"I cancelled all my plans for you and you couldn't even show up on time.",manipulation
"You used to be fun I don't know what happened to you.",manipulation
"I know what's best for you even if you can't see it right now.",manipulation
"You always make everything so complicated when it could be simple if you just listened.",manipulation
"I'm trying to protect you from making a huge mistake and you're pushing me away.",manipulation
"The fact that you have to think about whether to help me is really hurtful.",manipulation
"I've done more for this family than anyone and no one appreciates it.",manipulation
"If you don't come home right now we're going to have a serious problem.",manipulation
"You always find time for your hobbies but never for me.",manipulation
"I can see right through you and I know you're lying to me.",manipulation
"If our friendship meant anything to you you'd drop everything and be here.",manipulation
"You promised you'd change and here we are right back where we started.",manipulation
"I tell everyone how great you are and you can't even defend me once.",manipulation
"I don't ask for much all I want is your undivided attention.",manipulation
"The kids would be devastated if you left so think about that.",manipulation
"You're being incredibly selfish and you don't even realize it.",manipulation
"I've been through so much trauma and you're adding to it.",manipulation
"You know I have trust issues and you keep doing things that trigger them.",manipulation
"I would drop everything for you in a heartbeat and you can't even text me back.",manipulation
"If you really valued this team you would put in the extra hours like I do.",manipulation
"I'm not asking you to choose I'm just saying I'd be really hurt if you went.",manipulation
"You always bring up my past mistakes but never acknowledge my growth.",manipulation
"I've forgiven you so many times and this is the one thing I ask in return.",manipulation
"You don't know how lucky you are that someone like me puts up with you.",manipulation
"I only criticize you because I see your potential and you're wasting it.",manipulation
