text,label
"If you really cared about me you wouldn't even question this.",manipulation
"I guess I'm just not important enough for you to remember.",manipulation
"After everything I've done for you this is the thanks I get.",manipulation
"You're the only person who truly gets me please don't abandon me.",manipulation
"I'm not mad I just think it's funny how you always prioritize them over me.",manipulation
"Everyone else agrees with me so maybe you're the problem here.",manipulation
"I never said that you're completely making things up again.",manipulation
"You're way too sensitive it was obviously just a joke.",manipulation
"If you walk away right now I don't know what I might do.",manipulation
"I only did that because I was trying to help you.",manipulation
"You wouldn't be able to handle this without me.",manipulation
"Remember that time I covered for you now I need a favor.",manipulation
"You're the reason I act like this you push me to it.",manipulation
"I'm telling you this because nobody else loves you enough to be honest.",manipulation
"No one else would tolerate your behavior the way I do.",manipulation
"That's not what I said at all you're twisting everything.",manipulation
"Fine go ahead and do whatever you want I'll just deal with it alone.",manipulation
"I'm not being controlling I'm just looking out for you.",manipulation
"Where would you even be right now if it weren't for me.",manipulation
"I gave up so much for this relationship and you can't do one simple thing.",manipulation
"I thought you were different but I guess you're just like everyone else.",manipulation
"You always do this to me and then act like nothing happened.",manipulation
"I'm not trying to guilt trip you I'm just stating facts.",manipulation
"If you actually listened to me we wouldn't have this problem.",manipulation
"I'm only upset because I care so much about us.",manipulation
"You don't even realize how much you hurt me on a daily basis.",manipulation
"I was there for you when no one else was and this is how you treat me.",manipulation
"It's like you enjoy seeing me suffer.",manipulation
"You keep saying you'll change but you never do so why should I believe you.",manipulation
"I trusted you with everything and you just threw it away.",manipulation
"Maybe if you paid more attention to me this wouldn't happen.",manipulation
"You're going to regret not listening to me.",manipulation
"I can't believe you would choose them over your own family.",manipulation
"Do what you want but don't come crying to me when it falls apart.",manipulation
"I've never met anyone who could make me feel this bad about myself.",manipulation
"You clearly don't value this friendship as much as I do.",manipulation
"I put you first every single time and you never return the favor.",manipulation
"Everyone can see how much I do for you except you.",manipulation
"You'd be lost without my advice and you know it.",manipulation
"I'm not asking for much just your complete loyalty.",manipulation
"I thought we were closer than this but apparently not.",manipulation
"You made me a promise and now you're going back on your word.",manipulation
"The fact that you even have to think about it says a lot.",manipulation
"I dropped everything to be here for you and you can't even do this.",manipulation
"If this is how you treat people who love you I feel sorry for you.",manipulation
"I've sacrificed my own happiness to make you comfortable.",manipulation
"You always make me feel like the bad guy when I'm just trying to help.",manipulation
"I'm the only honest person in your life and you want to push me away.",manipulation
"Don't pretend you don't know exactly what you're doing to me.",manipulation
"You say you love me but your actions tell a completely different story.",manipulation
"I can't eat or sleep because of what you said to me.",manipulation
"If you really respected me you wouldn't hang out with those people.",manipulation
"I bent over backwards for your project and you didn't even mention my name.",manipulation
"I guess my feelings just don't matter to anyone in this group.",manipulation
"You know I have anxiety about this and you did it anyway.",manipulation
"I stayed up all night worrying about you and you didn't even text back.",manipulation
"If you tell anyone about this I'll never forgive you.",manipulation
"I moved here for you and now you want to just leave.",manipulation
"Nobody asked for your opinion but since you ruined the moment anyway.",manipulation
"I can tell you've been talking about me behind my back.",manipulation
"You always side with them it's like I don't even exist.",manipulation
"I thought we agreed you wouldn't see them anymore.",manipulation
"I gave you the best years of my life and this is what I get.",manipulation
"You clearly care more about your phone than our conversation.",manipulation
"Maybe I should just disappear since nobody would even notice.",manipulation
"I'm not jealous I'm just concerned about your choices.",manipulation
"Every time I open up to you I get punished for it.",manipulation
"I would never do to you what you just did to me.",manipulation
"You used to be so thoughtful what happened to that person.",manipulation
"I only checked your phone because you've been acting suspicious.",manipulation
"If you don't help me with this I'll have to tell mom what you did.",manipulation
"I'm starting to think you never actually cared about any of us.",manipulation
"You smile in my face and then stab me in the back.",manipulation
"I literally have no one else to turn to so you have to help me.",manipulation
"I'm not going to beg you to be a decent human being.",manipulation
"You're making a huge mistake and you'll see that soon enough.",manipulation
"I knew I shouldn't have trusted you with that secret.",manipulation
"The least you could do is pretend to care.",manipulation
"I defended you when everyone else was talking trash and this is my reward.",manipulation
"If you actually cared about your grade you'd let me copy the answers.",manipulation
"You owe me for getting you that interview.",manipulation
"It must be nice to not have a conscience like you.",manipulation
"I can't believe you'd embarrass me in front of everyone like that.",manipulation
"Every good thing in your life happened because I was there.",manipulation
"If you really wanted to be friends you'd take my side.",manipulation
"I always put your needs first and you never even acknowledge it.",manipulation
"You're going to look back and realize I was the best thing that happened to you.",manipulation
"I covered your shift three times and now you can't do this one thing for me.",manipulation
"You have no idea how hard my life is and you just make it worse.",manipulation
"Are you seriously going to leave me alone on my worst day.",manipulation
"I don't ask for much but apparently even that's too much for you.",manipulation
"Your other friends don't care about you the way I do trust me.",manipulation
"I'm only bringing this up because it keeps happening and you won't change.",manipulation
"If I can't count on you then what's the point of this.",manipulation
"You know how insecure I am about this and you still did it.",manipulation
"I didn't want to bring this up but you're forcing my hand.",manipulation
"I hope you realize you're pushing away the one person who actually cares.",manipulation
"I wasn't snooping I was just trying to understand why you've been distant.",manipulation
"If you post that I'm going to be really upset with you.",manipulation
"I stayed in this city because of you remember that.",manipulation
"You act like I'm the villain but look at what you've done.",manipulation
"I'm not telling you what to do I'm just saying what a good partner would do.",manipulation
"It's weird that you need so much space from someone who loves you.",manipulation
"When I needed help you were nowhere to be found but I'm supposed to drop everything for you.",manipulation
"I can't help how I feel and it's your fault I feel this way.",manipulation
"You left me on read for six hours but you were posting on Instagram the whole time.",manipulation
"If you don't come to my party I'll know where I stand with you.",manipulation
"I sacrificed my dream school to stay close to you and you don't even appreciate it.",manipulation
"You treat strangers better than you treat me.",manipulation
"I was going to surprise you but I guess you don't deserve it anymore.",manipulation
"Other people's partners would never act like this.",manipulation
"I'm starting to wonder if you even want me in your life.",manipulation
"I changed everything about myself for you and it's still not enough.",manipulation
"You promised you would be there and once again I'm let down.",manipulation
"My therapist says you're bad for my mental health just so you know.",manipulation
"If you don't respond in the next ten minutes I'll assume the worst.",manipulation
"I literally rearranged my whole schedule for you and you cancelled.",manipulation
"The way you talk to me makes me feel like I'm worthless.",manipulation
"I thought best friends were supposed to have each other's backs.",manipulation
"You don't love me the way I love you and that's the real problem.",manipulation
"Maybe you'll care when I'm finally gone.",manipulation
"If I were in your position I would never treat someone like this.",manipulation
"You never appreciate the little things I do because you're too selfish to notice.",manipulation
"I'm done trying with you but watch how fast you come running back.",manipulation
"I told my parents about what you did so now they know too.",manipulation
"You always have an excuse but never an apology.",manipulation
"I shared my deepest secret with you and now I feel so exposed.",manipulation
"Forget I said anything it's not like my opinion matters anyway.",manipulation
"I can see you're already pulling away just like everyone else does.",manipulation
"I was there through your worst moments and you can't handle my bad day.",manipulation
"If you cared about this team you'd agree with the plan.",manipulation
"I don't think you realize how much power you have over my happiness.",manipulation
"People keep telling me I deserve better than how you treat me.",manipulation
"I rearranged my whole life around you so the least you could do is show up.",manipulation
"I can't believe I wasted so much energy on someone who doesn't care.",manipulation
"Every time I try to make things better you shut me down.",manipulation
"I know things about you that no one else does so let's keep this between us.",manipulation
"You always pick the worst possible time to let me down.",manipulation
"My mom says I shouldn't trust you anymore and honestly she might be right.",manipulation
"You keep breaking my heart and acting like it's no big deal.",manipulation
"If you don't do this for me I'll know that our friendship means nothing to you.",manipulation
"I went out of my way to include you and you couldn't even say thank you.",manipulation
"I tell you everything and you can't even be honest with me once.",manipulation
"You always find a way to make me feel small.",manipulation
"I didn't sleep last night because of what you said I hope you're happy.",manipulation
"I need you and if you leave I have nothing left.",manipulation
"It's clear you've already made up your mind so why even ask me.",manipulation
"I supported your dream when nobody else would and now you're ditching me.",manipulation
"You should feel lucky that I put up with you.",manipulation
"I'm only harsh because I want to see you succeed unlike your fake friends.",manipulation
"If you actually tried harder we wouldn't keep fighting about this.",manipulation
"I've been nothing but loyal and you repay me with silence.",manipulation
"Don't make me regret opening up to you.",manipulation
"I told you not to hang out with them but you never listen to me.",manipulation
"Everyone at work likes me more than they like you and you know it.",manipulation
"I was the one who believed in you before anyone else did.",manipulation
"If you really cared about the project you'd work through the weekend.",manipulation
"You smile at everyone else but give me attitude constantly.",manipulation
"I kept quiet about your mistake and I expect the same loyalty.",manipulation
"I would have thought after last time you'd know better.",manipulation
"You never take responsibility for anything and I always clean up the mess.",manipulation
"I need you to choose right now it's either me or them.",manipulation
"I stayed when everyone else left so you owe me at least this much.",manipulation
"You act like what I do for you is nothing but without me you'd fall apart.",manipulation
"I gave you chance after chance and you keep disappointing me.",manipulation
"If you cared about my feelings at all you would have known that was wrong.",manipulation
"I didn't want to say anything but since you asked I've been miserable because of you.",manipulation
"If you leave this group chat everyone will know you're the problem.",manipulation
"I turn down other plans to hang out with you and you bail on me.",manipulation
"I've been carrying this friendship on my back for years.",manipulation
"I only lied because the truth would have hurt you more.",manipulation
"You keep hurting me and then pretending like nothing happened.",manipulation
"I'm the only one keeping this family together and nobody helps.",manipulation
"You're choosing a video game over spending time with me that says a lot.",manipulation
"If I could go back in time I would never have introduced you to my friends.",manipulation
"Don't you think it's selfish to go on vacation when I'm having a hard time.",manipulation
"You wouldn't last a day without me organizing your life.",manipulation
"I only get upset because I care more than anyone else in your life.",manipulation
"If you don't answer my calls I'm going to assume something is seriously wrong.",manipulation
"I've been patient but my patience has limits and you're testing them.",manipulation
"You promised me forever and now you're changing the terms.",manipulation
"I have screenshots of everything you said so don't try to deny it.",manipulation
"I supported you financially and emotionally and you just take take take.",manipulation
