text,label
"No worries I'm used to being the last to know.",passive_aggression
"Must be nice to have so much free time on your hands.",passive_aggression
"Oh you're actually going to show up this time what a treat.",passive_aggression
"I just think it's interesting that you always have time for everyone else but me.",passive_aggression
"Sure I'll handle it myself like I always do.",passive_aggression
"Wow you actually went with that choice bold move.",passive_aggression
"I mean I would have done it differently but you do you.",passive_aggression
"That's fine everything's fine I'm totally fine.",passive_aggression
"Oh no please go ahead and take all the credit you deserve it.",passive_aggression
"I didn't realize we were doing things your way exclusively now.",passive_aggression
"Some people actually have to work hard for what they have.",passive_aggression
"I'm not upset I just find it really really interesting.",passive_aggression
"Oh you finally decided to respond how generous of you.",passive_aggression
"Don't worry about me I'll figure it out alone like usual.",passive_aggression
"It must be so easy when you don't worry about the details.",passive_aggression
"Thanks for finally gracing us with your presence.",passive_aggression
"I love how you always manage to make everything about yourself.",passive_aggression
"Interesting how you remembered their birthday but forgot mine.",passive_aggression
"No no your way is clearly superior what would I know.",passive_aggression
"I'm sure you tried your best and that's what counts right.",passive_aggression
"Cool I guess my opinion doesn't really matter here anyway.",passive_aggression
"Sorry I didn't realize I needed to schedule an appointment to talk to you.",passive_aggression
"Wow that must have taken a lot of thought.",passive_aggression
"I mean if that's what you think is best then sure.",passive_aggression
"Nice of you to finally join the conversation.",passive_aggression
"Don't mind me I'm just here doing everything by myself.",passive_aggression
"Oh I'm sorry was I supposed to read your mind.",passive_aggression
"I love how you always conveniently forget the things I ask you to do.",passive_aggression
"No it's totally fine I didn't need help anyway.",passive_aggression
"Sure go ahead and change the plans again it's not like I had anything going on.",passive_aggression
"Glad to know where I fall on your list of priorities.",passive_aggression
"Oh you cooked tonight that's a first.",passive_aggression
"I guess some people just have different standards of what clean means.",passive_aggression
"Thanks for letting me know at the very last possible second.",passive_aggression
"Sure I'll just sit here and wait for you to be ready no rush at all.",passive_aggression
"I thought we discussed this but clearly my memory is wrong.",passive_aggression
"You seem really busy so I won't bother you with my problems.",passive_aggression
"Wow you really outdid yourself this time and not in a good way.",passive_aggression
"I mean someone has to be the responsible one in this group.",passive_aggression
"It's fine I already lowered my expectations.",passive_aggression
"I didn't say anything wrong I was just making an observation.",passive_aggression
"Thanks for the heads up would have been nicer yesterday though.",passive_aggression
"I love how you volunteered me without even asking first.",passive_aggression
"No go ahead and eat the last piece it's not like I wanted any.",passive_aggression
"I see you had time to scroll social media but not reply to my text.",passive_aggression
"Oh so we're just pretending last night didn't happen okay cool.",passive_aggression
"It must be so nice to never have to worry about anyone else's feelings.",passive_aggression
"Don't worry I already told them you probably wouldn't make it.",passive_aggression
"I didn't know we were keeping score but okay.",passive_aggression
"You look tired did you actually sleep or were you out all night again.",passive_aggression
"I'm sure your way works too even if it takes three times as long.",passive_aggression
"Glad someone around here is having a good time.",passive_aggression
"Oh you're wearing that to the dinner interesting choice.",passive_aggression
"I just think it's funny how some people have all the luck.",passive_aggression
"Sure take your time it's not like I've been waiting for an hour.",passive_aggression
"I already know the answer but go ahead and explain it your way.",passive_aggression
"Wow that was almost on time good for you.",passive_aggression
"Oh you actually read the email I'm impressed.",passive_aggression
"I didn't realize we needed a committee to make a simple decision.",passive_aggression
"Some of us take our commitments seriously but that's just me.",passive_aggression
"I'll just be over here doing the work nobody else volunteered for.",passive_aggression
"Oh were you talking to me I assumed you forgot I was here.",passive_aggression
"I mean at least you're consistent.",passive_aggression
"You should probably check with your other friends first since they clearly come first.",passive_aggression
"It's great that you feel so comfortable leaving your dishes in the sink.",passive_aggression
"I wasn't going to say anything but since you asked the presentation needed more work.",passive_aggression
"Congratulations on doing the bare minimum.",passive_aggression
"Oh you want my help now that's a change.",passive_aggression
"Sure let's go with your idea since mine obviously wasn't good enough.",passive_aggression
"I just love how flexible I have to be for your schedule.",passive_aggression
"Don't mind the mess I was too busy doing your share of the chores.",passive_aggression
"Oh that's the excuse this time got it.",passive_aggression
